time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4487	0.251261	-0.00693543	-2.62648e-17	0	lidar	0.000445908	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47133	0.24873	-0.0056645	2.62296e-07	6.2441e-10	radar	0.125911	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46424	0.250928	-0.00871146	-1.47152e-07	-1.6535e-09	lidar	0.00641703	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37293	0.251273	-0.921781	2.93948e-06	4.23494e-07	radar	19.2279	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.29715	0.25067	-0.938877	2.01041e-05	1.23039e-06	lidar	0.211822	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.09138	0.244361	-1.89576	0.00355258	0.00031939	radar	61.8759	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.95948	0.227114	-1.92606	0.00616171	0.000548991	lidar	1.07546	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.78907	0.220246	-2.25644	0.0096001	0.00108594	radar	14.5713	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.6488	0.208958	-2.28179	0.013286	0.00159074	lidar	0.788989	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.54007	0.198851	-2.20779	0.0173107	0.00219453	radar	1.50078	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.40481	0.169649	-2.22183	0.0330226	0.00532466	lidar	1.18505	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.25337	0.152372	-2.32237	0.0409781	0.00705068	radar	3.63741	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.11377	0.112113	-2.33584	0.0657815	0.0136987	lidar	1.6655	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.00487	0.0767755	-2.2514	0.088933	0.021564	radar	6.09555	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.87686	0.00545442	-2.25971	0.135377	0.0375638	lidar	3.84902	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.77037	-0.0484594	-2.24006	0.168345	0.050737	radar	3.00409	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.65796	-0.141913	-2.25029	0.227916	0.0755286	lidar	5.64501	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.60536	-0.235899	-2.10364	0.30318	0.123107	radar	20.6833	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.51381	-0.339421	-2.108	0.365041	0.151994	lidar	5.41982	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.46401	-0.477098	-1.97674	0.479519	0.238867	radar	27.3397	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.38194	-0.624911	-1.99192	0.568459	0.284342	lidar	10.2828	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.30175	-0.747579	-1.9915	0.640563	0.327335	radar	5.72245	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.22126	-0.891266	-2.01982	0.717872	0.366259	lidar	7.01918	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.24878	-1.15041	-1.90182	1.00049	0.659662	radar	86.7255	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.21944	-1.30891	-1.92134	1.09362	0.699867	lidar	7.52943	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.18433	-1.44182	-1.94653	1.17058	0.736508	radar	4.10141	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.16317	-1.59437	-1.98292	1.25286	0.766603	lidar	6.99594	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.18948	-1.80526	-2.04864	1.46834	0.980654	radar	30.5625	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.20544	-1.95188	-2.07325	1.55293	1.00452	lidar	5.24826	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.2108	-2.09289	-2.10161	1.62784	1.02081	radar	2.36021	6.32593	-2.40018	6.35	-2.4	0	-2.72613
